"YYYY","MM","DD","ATMP","WTMP"
"7406",1999,11,5,24.7,25.2
"7430",1999,11,6,25.7,23.3
"7454",1999,11,7,25.2,24.4
"7478",1999,11,8,24.3,25.5
"7502",1999,11,9,24.7,26.3
"7526",1999,11,10,25.1,25.9
"7550",1999,11,11,25.7,25
"7574",1999,11,12,25,25
"7598",1999,11,13,25,25.6
"7622",1999,11,14,25.1,25.9
"7646",1999,11,15,21.7,25.5
"7670",1999,11,16,22,25.9
"7694",1999,11,17,20,25.5
"7718",1999,11,18,23.8,25.3
"7742",1999,11,19,24.7,25.5
"7766",1999,11,20,24.8,24.7
"7790",1999,11,21,21.5,25.4
"7814",1999,11,22,22,25.2
"7838",1999,11,23,22.2,25.5
"7862",1999,11,24,21.8,25.7
"7886",1999,11,25,25.3,26.1
"7910",1999,11,26,23.8,25.8
"7934",1999,11,27,22.1,25.5
"7958",1999,11,28,19.2,25.4
"7982",1999,11,29,23.9,24.6
"8006",1999,11,30,19.6,24.6
"8030",1999,12,1,16.2,24.4
"8054",1999,12,2,15.1,24.5
"8078",1999,12,3,20.8,24.6
"8102",1999,12,4,22.3,24.9
"8126",1999,12,5,23.9,25
"8150",1999,12,6,24.2,24.7
"8174",1999,12,7,20.6,25
"8198",1999,12,8,24.3,24.6
"8222",1999,12,9,24.1,24.4
"8246",1999,12,10,24.1,25
"8270",1999,12,11,21.8,25.1
"8294",1999,12,12,24.2,24.9
"8318",1999,12,13,24.7,25
"8342",1999,12,14,24.6,24.9
"8366",1999,12,15,24.6,25
"8390",1999,12,16,21.8,24.7
"8414",1999,12,17,24.2,24.3
"8438",1999,12,18,24.5,24.8
"8462",1999,12,19,24.5,24.8
"8486",1999,12,20,22.7,24.8
"8510",1999,12,21,24.9,24.8
"8534",1999,12,22,25,24.8
"8558",1999,12,23,24.5,24.8
"8582",1999,12,24,19.4,24.7
"8606",1999,12,25,13.4,23.8
"8630",1999,12,26,12.4,23.4
"8654",1999,12,27,15.3,23.8
"8678",1999,12,28,20.8,23.9
"8702",1999,12,29,19,23.8
"8726",1999,12,30,18.6,23.6
"8750",1999,12,31,20.4,23.6
"141",2000,1,1,23.6,23.2
"381",2000,1,2,23.5,23.6
"621",2000,1,3,23.4,23.9
"861",2000,1,4,24.4,24.3
"1101",2000,1,5,21.7,24.3
"1341",2000,1,6,24.2,24.2
"1581",2000,1,7,24.2,24.3
"1821",2000,1,8,23.7,24.3
"2061",2000,1,9,24.1,24.2
"2301",2000,1,10,24.3,24.2
"2541",2000,1,11,22.9,24.2
"2781",2000,1,12,24.2,24.1
"3021",2000,1,13,24.1,24.9
"3261",2000,1,14,19.9,24.3
"3501",2000,1,15,19.1,22.7
"3741",2000,1,16,20.1,23
"3981",2000,1,17,17.9,22.1
"4221",2000,1,18,16.9,21.5
"4461",2000,1,19,18.9,22.6
"4701",2000,1,20,20.6,23.1
"4941",2000,1,21,13.2,22.4
"5181",2000,1,22,17.1,23.1
"5421",2000,1,23,21.9,24.1
"5661",2000,1,24,23.1,24
"5901",2000,1,25,12.6,22.6
"6141",2000,1,26,14.4,22.7
"6381",2000,1,27,8.7,19.7
"6621",2000,1,28,19.3,22
"6861",2000,1,29,22.4,22.1
"7101",2000,1,30,22.3,22
"7341",2000,1,31,23,22.8
"7581",2000,2,1,18.9,22.7
"7821",2000,2,2,22.8,22.9
"8061",2000,2,3,23,23
"8301",2000,2,4,20.1,22.8
"8541",2000,2,5,15.8,22.3
